tmdbid,title,revenue,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,?column?,yes,yes,yes 
400,Things to Do in Denver When You're Dead,529766,27576,76341,245891,260346,101299,10651,241554,169917,73861,240,59967,133805,27576,769,27292,238636,31544,15912,167583,95334,46957
20927,Bed of Roses,19030691,157336,112160,23168,65496,10995,602,5559,552,117483,55721,32856,59,157336,89492,43949,901,36536,81340,11508,26171,184020
36929,Big Bully,2042530,13339,70821,332349,15907,13310,13,82690,224758,246115,295022,209861,38303,13339,13205,1792,49020,15022,328425,21972,9872,13358
9102,Screamers,5781885,605,87101,157336,604,603,296,240832,78,198184,19995,264660,62,605,534,218,2048,20526,152601,262543,9323,307663
10534,White Squall,10300000,,,,,,,,,,,,,,,,,,,,,
13997,Black Sheep,32,9388,358645,192473,139583,63811,295245,256288,194048,306688,7512,10607,20075,9388,10608,20197,254526,19833,13191,18357,18898,12712
2086,Nick of Time,8175346,249070,534,201088,27576,16995,562,9388,6637,193893,920,277216,17654,249070,59967,78,4723,1620,2503,602,97020,241251
12158,Vampire in Brooklyn,19800000,159824,49017,36648,35669,17102,26480,76492,33020,755,31003,808,120,159824,36647,10020,308504,8966,62213,11868,23220,27022
9208,Broken Arrow,150270147,76341,294254,201088,1865,602,58,262543,17578,246080,284289,12162,10303,76341,11576,4723,173,11866,282813,10339,11676,18783
18323,Joshua,1347988,,,,,,,,,,,,,,,,,,,,,
13685,Bottle Rocket,407488,13573,9451,2017,24469,16980,16548,29406,340880,250066,294652,11561,1024,13573,1587,10856,9282,10872,10347,9962,7090,32646
9614,Happy Gilmore,41205099,307081,1893,920,238,1930,601,272,1588,9472,14161,14,39254,307081,287,644,14709,9955,11431,489,380,1562
688,The Bridges of Madison County,182016617,843,316,2288,11036,844,247,884,10833,37265,4478,1367,10998,843,858,142,351,1440,1494,713,6003,11232
10874,Muppet Treasure Island,34327391,135397,9710,89,87,6637,1995,85,9326,10303,1996,2059,217,135397,49051,17578,12450,9838,329,10191,9806,238615
197,Braveheart,210000000,152532,285783,321697,106646,769,261023,277216,62177,423,272878,266856,227306,152532,510,81,1883,77,228970,380,97370,88794
103,Taxi Driver,28262574,27576,13939,44214,1538,26390,341,47244,30377,129568,,,,27576,,,,,,,,
33542,紅番區,32392047,24,605,9502,604,290864,17386,71518,205493,146,23742,217923,7549,24,44865,9535,3131,11474,9053,13161,9455,269651
51352,Anne Frank Remembered,1,24593,253249,157723,180163,3396,61312,56224,1658,,,,,24593,,,,,,,,
78406,Steal Big Steal Little,6278139,296098,277216,393,857,205587,65086,1925,389,2062,623,5375,9679,296098,7220,13813,4723,73,2649,209247,10731,11092
11066,Boomerang,70100000,3902,10720,10164,1088,1691,9422,11936,5724,5259,4579,5182,4536,3902,4570,,,,,,,
2074,Flirting with Disaster,14702438,76757,254470,109445,257211,106646,603,216015,808,306964,245168,243683,9762,76757,268920,10956,49444,13342,10555,83542,12405,605
8068,Desperado,25405445,249070,201088,1620,787,27576,266396,51608,682,1948,27582,4836,9691,249070,9401,1441,4909,4816,8677,11702,12633,5889
11863,Jade,9851610,76341,102899,245891,16825,201088,260346,402,1949,101299,807,534,193893,76341,1894,357096,691,189,10528,293970,241554,169917
11000,The Birdcage,185260553,10806,321,10938,21060,4369,10139,1420,342,9261,22597,32633,14893,10806,36041,174323,26032,28628,19151,38050,1378,280976
9737,Bad Boys,141407024,201088,27576,602,11859,,,,,,,,,201088,,,,,,,,
568,Apollo 13,355237933,286217,157336,19995,602,62,14161,50357,44943,679,2900,1562,871,286217,95,2103,7191,8656,817,25568,192929,698
11780,Rob Roy,31600000,97370,10864,345068,153021,91902,301592,,,,,,,97370,,,,,,,,
414,Batman Forever,336529144,155,1924,49521,49026,209112,8536,364,272,268,1452,415,137106,155,11411,9531,44912,30061,183011,14011,251768,45162
9070,Mighty Morphin Power Rangers: The Movie,66000000,241697,235343,200424,188198,204634,178966,205605,200569,264572,137261,272741,188282,241697,188288,167693,334137,270893,188301,270313,263852,200426
5894,Blue in the Face,1275000,9388,10149,278580,883,110128,256424,245802,74342,283406,36204,87985,219456,9388,,,,,,,,
1775,Canadian Bacon,178104,,,,,,,,,,,,,,,,,,,,,
8839,Casper,287928194,18885,105,68718,7191,14161,44943,1562,36647,16314,40508,28355,32302,18885,9986,42941,82679,13523,1433,277688,9378,59883
20649,Clockers,13071518,263472,240832,979,106646,109729,17494,24469,36915,22318,19849,26579,14922,263472,12271,49342,16548,43727,37265,86195,23949,179144
8963,Crimson Tide,157387195,602,10178,667,691,8845,173,11519,15876,23592,5334,17744,88087,602,87245,224130,80025,29895,9101,81305,,
26564,Crumb,3174695,263472,242582,292667,209247,158011,360784,60932,149,179144,19913,12225,59436,263472,305732,264308,304780,258704,288749,298630,342939,348904
