Similarity Votes,rating
647.0,100631
648.0,4030
652.0,175535
653.0,37268
654.0,5605
655.0,161754
660.0,15006
661.0,40
662.0,1018
663.0,29485
665.0,73167
666.0,1105
667.0,10164
668.0,61217
669.0,9997
670.0,45946
672.0,31999
673.0,20501
675.0,2303
678.0,3899
679.0,9101
680.0,203741
683.0,10195
685.0,2753
686.0,25639
688.0,184830
690.0,3736
692.0,2066
697.0,8734
698.0,4537
699.0,30667
700.0,77339
704.0,43633
708.0,65879
711.0,82
712.0,758
713.0,10946
714.0,1374
716.0,175481
718.0,9165
719.0,20668
723.0,8648
728.0,4308
729.0,262
731.0,13803
732.0,31619
733.0,71444
737.0,91651
738.0,961
739.0,117508
741.0,7537
742.0,237
743.0,82044
744.0,30232
745.0,12797
751.0,54
752.0,24
753.0,141216
762.0,1694
763.0,660
766.0,32955
767.0,11899
768.0,13390
770.0,79573
788.0,86376
798.0,554
799.0,4781
803.0,215
804.0,116802
805.0,11762
808.0,54594
818.0,131
823.0,17553
824.0,46
826.0,38435
836.0,4255
848.0,714
853.0,89621
859.0,129
860.0,34681
877.0,131
881.0,1116
883.0,718
889.0,2729
915.0,742
921.0,680
939.0,10170
955.0,200
963.0,60
997.0,33
1042.0,49
1090.0,846
1158.0,256
1181.0,569
1191.0,245
1302.0,122
1328.0,22
1454.0,104
1455.0,69
