tmdbid,title,revenue, yes, yes, yes
1607,A Bronx Tale,17266971
26391,Cabin Boy,3662459
6075,Carlito's Way,36516012
9350,Cliffhanger,255000000
2124,Color of Night,19726050
11566,Dave,63000000
9571,Dazed and Confused,7993039
9739,Demolition Man,159055768
37233,The Firm,270248367
18551,Flesh and Bone,9488998
9024,For Love or Money,11146270
5503,The Fugitive,368875760
35588,Geronimo: An American Legend,18635620
4916,Guilty as Sin,22886222
2019,Hard Target,74189677
9255,Hot Shots! Part Deux,133752825
2259,The House of the Spirits,6265311
9386,In the Line of Fire,176997168
7984,In the Name of the Father,65796862
59930,The Inkwell,8880705
6,Judgment Night,12136938
329,Jurassic Park,920100000
10909,Kalifornia,2395231
507,Killing Zoe,418961
9593,Last Action Hero,137298489
1413,M. Butterfly,1499795
2246,Malice,46405336
9516,Menace II Society,27900000
2320,Executive Decision,68000000
8291,Poetic Justice,27515786
788,Mrs. Doubtfire,441286195
11231,The Next Karate Kid,15826984
9559,A Perfect World,135130999
9800,Philadelphia,206678440
18133,The Program,23042200
25557,The Puppet Masters,8638072
10872,The Ref,11439193
1245,The Remains of the Day,23237911
11858,Renaissance Man,24332324
5550,RoboCop 3,10696210
8005,Robin Hood: Men in Tights,35739755
47889,Ruby in Paradise,1001437
14534,Rudy,22750363
424,Schindler's List,321265768
14291,Searching for Bobby Fischer,7266383
8850,The Shadow,48063435
695,Short Cuts,6110979
12519,Sirens,7770731
24405,Chasers,1596700
858,Sleepless in Seattle,227799884
867,Sliver,116300000
78,Blade Runner,32768670
13203,Son in Law,36448200
10442,So I Married an Axe Murderer,11585483
9607,Super Mario bros.,20844907
17585,Surviving the Game,7690013
9057,Terminal Velocity,16478900
9479,The Nightmare Before Christmas,75634409
10057,The Three Musketeers,53898845
11969,Tombstone,56505065
319,True Romance,12281551
15139,The Pagemaster,13670688
10897,The Little Rascals,67308282
37345,Princess Caraboo,3021629
771,Home Alone,476684675
251,Ghost,505000000
812,Aladdin,504050219
280,Terminator 2: Judgment Day,520000000
581,Dances with Wolves,424208848
268,Batman,411348924
274,The Silence of the Lambs,272742922
408,Snow White and the Seven Dwarfs,184925486
10020,Beauty and the Beast,377350553
10895,Pinocchio,84300000
114,Pretty Woman,463000000
576,The Wild Bunch,638641
7300,One Fine Day,97529550
275,Fargo,60611975
25059,Homeward Bound II: Lost in San Francisco,32709423
8766,Hellraiser: Bloodline,16675000
571,The Birds,11403529
10112,The Aristocats,55675257
12520,The Last Supper,442965
1592,Primal Fear,102616183
19042,All Dogs Go to Heaven 2,8620678
2021,Jack & Sarah,218626
10684,Courage Under Fire,100860818
954,Mission: Impossible,457696359
8840,DragonHeart,115267375
10539,James and the Giant Peach,28921264
47502,Faithful,9789900
25087,Bloodsport II,684351
5801,Pather Panchali,536364
896,Apur Sansar,16000
2300,Space Jam,230000000
40001,Mrs. Winterbourne,10070000
9103,The Quest,57400547
11876,Le hussard sur le toit,15000000
9100,The Craft,24769466
46063,Last Dance,5
9802,The Rock,335062621
664,Twister,494471524
11867,Barb Wire,3793614
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272
9826,The Phantom,17300889
9879,Striptease,113309743
26890,I Shot Andy Warhol,1814290
627,Trainspotting,16491080
602,Independence Day,816969268
9566,The Fan,18626419
10545,The Hunchback of Notre Dame,100138851
9894,The Cable Guy,102825796
11543,Kingpin,25023434
9268,Eraser,242295562
138222,Best Man Down,1938
9327,The Nutty Professor,128769345
81949,Un été inoubliable,65352
11228,Daylight,159212469
26748,Lone Star,13269963
9294,Phenomenon,152036382
11363,She's the One,9482579
1645,A Time to Kill,152266007
31546,American Buffalo,665450
18550,Fled,17193231
11962,Joe's Apartment,4619014
2925,The First Wives Club,116400000
3595,Ransom,309492681
9308,High School High,21302121
18555,Foxfire,258263
10830,Matilda,33459416
9431,Bordello of Blood,5
3573,Emma,22231658
10546,The Crow: City of Angels,17917287
47907,The Spitfire Grill,12643776
10061,Escape from L.A.,42277365
549,Basquiat,3011195
66634,Dingo,300000
238,The Godfather,245066411
11134,警察故事 III：超級警察,20483423
9303,Bound,7011317
11015,The Relic,33956608
9306,The Island of Dr. Moreau,49627779
10723,Bulletproof,22611954
10987,Halloween: The Curse of Michael Myers,15116634
872,Singin' in the Rain,7200000
164,Breakfast at Tiffany's,9500000
426,Vertigo,7311013
567,Rear Window,36764313
963,The Maltese Falcon,1000000
213,North by Northwest,13275000
11113,My Fair Lady,72000000
284,The Apartment,25000000
4808,Charade,13474588
289,Casablanca,10462500
6620,Sabrina,10000000
630,The Wizard of Oz,16538431
770,Gone with the Wind,400176459
15,Citizen Kane,23217674
62,2001: A Space Odyssey,56715371
705,All About Eve,8400000
223,Rebecca,43455
303,Notorious,8000000
4174,Spellbound,7000000
381,To Catch a Thief,8750000
1859,Ninotchka,2279000
303,Notorious,8000000
1859,Ninotchka,2279000
4174,Spellbound,7000000
381,To Catch a Thief,8750000
3080,Top Hat,3202000
1712,Giant,35000000
2897,Around the World in Eighty Days,42000000
1585,It's a Wonderful Life,6600000
22649,A Farewell to Arms,25
488,The African Queen,10750000
261,Cat on a Hot Tin Roof,17000000
